run_accession,analysis_accession,sample_accession,study_accession,analysis_type,tax_id,scientific_name,submitted_ftp,study_accession,experiment_accession,fastq_ftp,submitted_ftp,sra_ftp,bam_match,samplename
ERR3572867,ERZ2271854,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2271854/ERR3572867.fasta.gz,PRJEB34634,ERX3571105,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/007/ERR3572867/ERR3572867_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/007/ERR3572867/ERR3572867_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572867/WTCHG_664453_247124.bam,,WTCHG_664453_247124,DID-DW-100-WIN
ERR3572868,ERZ2227277,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ222/ERZ2227277/ERR3572868.fasta.gz,PRJEB34634,ERX3571106,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/008/ERR3572868/ERR3572868_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/008/ERR3572868/ERR3572868_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572868/WTCHG_670348_245148.bam,,WTCHG_670348_245148,DID-DW-1000-AUT
ERR3572869,ERZ2227965,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ222/ERZ2227965/ERR3572869.fasta.gz,PRJEB34634,ERX3571107,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/009/ERR3572869/ERR3572869_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/009/ERR3572869/ERR3572869_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572869/WTCHG_670349_245148.bam,,WTCHG_670349_245148,DID-DW-1000-AUT
ERR3572870,ERZ2272232,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2272232/ERR3572870.fasta.gz,PRJEB34634,ERX3571108,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/000/ERR3572870/ERR3572870_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/000/ERR3572870/ERR3572870_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572870/WTCHG_670345_245148.bam,,WTCHG_670345_245148,DID-DW-1000-AUT
ERR3572871,ERZ2271793,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2271793/ERR3572871.fasta.gz,PRJEB34634,ERX3571109,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/001/ERR3572871/ERR3572871_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/001/ERR3572871/ERR3572871_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572871/WTCHG_670347_245148.bam,,WTCHG_670347_245148,DID-DW-1000-AUT
ERR3572872,ERZ2227328,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ222/ERZ2227328/ERR3572872.fasta.gz,PRJEB34634,ERX3571110,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/002/ERR3572872/ERR3572872_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/002/ERR3572872/ERR3572872_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572872/WTCHG_670346_245148.bam,,WTCHG_670346_245148,DID-DW-1000-AUT
ERR3572873,ERZ2271961,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2271961/ERR3572873.fasta.gz,PRJEB34634,ERX3571111,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/003/ERR3572873/ERR3572873_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/003/ERR3572873/ERR3572873_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572873/WTCHG_670344_245148.bam,,WTCHG_670344_245148,DID-DW-1000-AUT
ERR3572874,ERZ2272027,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2272027/ERR3572874.fasta.gz,PRJEB34634,ERX3571112,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/004/ERR3572874/ERR3572874_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/004/ERR3572874/ERR3572874_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572874/WTCHG_664453_245148.bam,,WTCHG_664453_245148,DID-DW-1000-AUT
ERR3572875,ERZ2271086,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2271086/ERR3572875.fasta.gz,PRJEB34634,ERX3571113,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/005/ERR3572875/ERR3572875_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/005/ERR3572875/ERR3572875_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572875/WTCHG_670348_255123.bam,,WTCHG_670348_255123,DID-DW-1000-SUM
ERR3572876,ERZ2271440,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2271440/ERR3572876.fasta.gz,PRJEB34634,ERX3571114,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/006/ERR3572876/ERR3572876_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/006/ERR3572876/ERR3572876_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572876/WTCHG_670346_255123.bam,,WTCHG_670346_255123,DID-DW-1000-SUM
